ID_ZONA,POBLACION_TOTAL,EDAD_MEDIANA,INGRESO_MEDIANO_HOGAR,TASA_EMPLEO,TAMANO_HOGAR_PROMEDIO,POBLACION_HISPANA,TASA_OCUPACION
MN0101,48608,34.3,198961.0,79.57,1.99,1639,83.1
MN0102,23257,36.8,185902.0,68.92,2.2,873,81.41
MN0201,22167,39.3,132900.0,70.97,1.78,975,82.01
MN0202,31517,35.7,174062.0,64.44,1.74,1003,78.61
MN0203,32518,39.7,168629.0,71.17,1.68,2364,80.94
MN0302,46107,42.2,58841.0,53.27,2.05,12016,90.54
MN0303,68412,33.9,76136.0,60.06,1.83,11928,91.01
MN0401,61878,39.2,126272.0,70.06,1.67,6004,83.9
MN0402,55221,39.1,105839.0,69.45,1.61,6556,87.46
MN0501,29670,35.2,182280.0,70.16,1.65,1493,82.85
MN0502,21949,42.8,148446.0,65.59,1.61,1069,67.98
MN0601,21963,39.6,160855.0,65.61,2.05,1097,92.47
MN0602,26523,35.2,153720.0,68.32,1.71,849,78.79
MN0603,54905,34.3,141463.0,71.82,1.7,2830,82.93
MN0604,41969,45.6,170196.0,66.63,1.78,1721,73.04
MN0701,68212,43.2,164712.0,64.8,1.81,3982,80.1
MN0702,99128,44.9,159333.0,64.59,2.03,7618,81.0
MN0703,51421,40.5,100165.0,58.99,2.14,9724,88.57
MN0801,79296,37.9,137355.0,67.99,1.87,2959,77.43
MN0802,54062,50.0,171961.0,59.3,2.01,2153,70.43
MN0803,78950,42.2,147475.0,65.92,1.84,4723,85.55
MN0901,37984,28.1,87452.0,52.24,2.12,4722,85.07
MN0902,22260,34.5,46819.0,52.18,2.58,9922,90.95
MN0903,52530,38.0,68527.0,61.43,2.62,19999,91.2
MN1001,48803,38.3,74007.0,63.21,2.25,6565,87.75
MN1002,86090,38.1,51386.0,54.55,2.26,18165,91.05
MN1101,58607,37.8,42076.0,49.85,2.14,19369,89.23
MN1102,63526,36.6,39957.0,51.04,2.19,21871,90.91
MN1201,74814,38.4,56929.0,53.39,2.63,41937,92.39
MN1202,75554,40.0,78465.0,60.63,2.53,37752,93.98
MN1203,38209,38.5,68523.0,63.16,2.51,23226,93.25
